XXX,Territory Code,Period Ending,Country,,Legal Process,User Data Requests,Percentage of requests where some data produced,Users/Accounts Specified,Responses
AR,12/31/2012,Argentina,,,114,38,175,43
AU,12/31/2012,Australia,,,584,65,711,380
BE,12/31/2012,Belgium,,,120,63,153,76
BR,12/31/2012,Brazil,,,1211,66,2526,799
CA,12/31/2012,Canada,,,38,24,77,9
CH,12/31/2012,Switzerland,,,49,67,59,33
CL,12/31/2012,Chile,,,109,58,168,63
CZ,12/31/2012,Czech Republic,,,51,31,84,16
DE,12/31/2012,Germany,,,1550,42,1944,651
DK,12/31/2012,Denmark,,,34,59,41,20
ES,12/31/2012,Spain,,,447,49,665,219
FR,12/31/2012,France,,,1693,44,2063,745
GB,12/31/2012,United Kingdom,,,1458,70,1918,1021
HK,12/31/2012,Hong Kong,,,255,31,251,79
HU,12/31/2012,Hungary,,,95,0,151,0
IL,12/31/2012,Israel,,,56,59,66,33
IN,12/31/2012,India,,,2431,66,4106,1604
IT,12/31/2012,Italy,,,846,34,1051,288
JP,12/31/2012,Japan,,,124,62,149,77
KR,12/31/2012,South Korea,,,355,30,771,107
MX,12/31/2012,Mexico,,,90,24,150,22
PL,12/31/2012,Poland,,,409,17,500,70
PT,12/31/2012,Portugal,,,200,30,278,60
RU,12/31/2012,Russia,,,97,1,123,1
SG,12/31/2012,Singapore,,,96,75,153,72
TR,12/31/2012,Turkey,,,149,0,144,0
TW,12/31/2012,Taiwan,,,290,74,366,215
US,,United states,,,8438,88,14791,7440
